kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
11442793,K00351.02,Kepler-90 g,CONFIRMED,CANDIDATE,0.8800,0,0,0,0,210.601384300,147.0568670,0.0020,11.99220,4159.3,7.70,342.0,3.22,232.40,2,q1_q17_dr25_tce,5970.00,4.317,1.2000,284.433500,49.305161,13.804
11554435,K00063.01,Kepler-63 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,9.434141710,177.8434600,0.5380,2.81120,3977.0,5.73,791.0,92.39,40.20,1,q1_q17_dr25_tce,5578.00,4.518,0.8860,289.226170,49.548199,11.582
3425851,K00268.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,110.378382800,175.9317000,0.0140,12.21100,489.8,3.02,473.0,11.82,108.90,1,q1_q17_dr25_tce,6342.00,4.242,1.3590,285.728790,38.506973,10.560
5966322,K00303.01,Kepler-517 b,CONFIRMED,CANDIDATE,0.9950,0,0,0,0,60.928188660,173.3721200,0.0090,6.33360,755.6,2.78,467.0,11.28,120.10,1,q1_q17_dr25_tce,5638.00,4.359,1.0230,293.675320,41.295361,12.193
8156120,K00318.01,Kepler-522 b,CONFIRMED,CANDIDATE,0.9870,0,0,0,0,38.583367900,174.8486800,0.9050,12.39100,1388.2,8.56,761.0,79.08,46.10,1,q1_q17_dr25_tce,6273.00,4.040,1.9270,288.153990,44.068821,12.211
10724369,K01302.01,Kepler-809 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,55.639188200,187.5504400,0.8110,7.31600,853.0,3.13,478.0,12.33,48.30,1,q1_q17_dr25_tce,5949.00,4.493,0.9620,289.083650,48.018131,14.755
7761545,K01472.01,Kepler-857 b,CONFIRMED,CANDIDATE,0.9360,0,0,0,0,85.351487500,161.0076080,0.0520,6.75040,4674.7,6.31,390.0,5.44,142.80,1,q1_q17_dr25_tce,5584.00,4.478,0.9380,294.632390,43.400471,15.061
7430034,K01848.01,Kepler-978 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,49.622066900,137.1014900,0.9390,7.22200,505.5,3.33,546.0,20.99,47.60,1,q1_q17_dr25_tce,5938.00,4.331,1.1840,286.710720,43.043449,13.429
11622600,K01876.01,Kepler-991 b,CONFIRMED,CANDIDATE,0.8540,0,0,0,0,82.534118800,209.1276300,0.0330,4.85560,1895.4,2.45,260.0,1.08,40.10,1,q1_q17_dr25_tce,4316.00,4.678,0.5800,297.090670,49.626572,15.187
10063802,K01888.01,Kepler-1000 b,CONFIRMED,CANDIDATE,0.9780,0,0,0,0,120.018355100,134.1874200,0.5800,11.63700,886.0,4.54,473.0,11.84,46.10,1,q1_q17_dr25_tce,6469.00,4.253,1.4670,286.685520,47.098221,13.256
9955598,K01925.01,Kepler-409 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,68.958447000,179.0815800,0.8210,3.12800,123.3,1.11,402.0,6.17,30.00,1,q1_q17_dr25_tce,5455.00,4.497,0.8880,293.679200,46.852760,9.439
6149910,K02469.01,Kepler-1840 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,131.187921000,172.3923000,0.0690,6.90500,915.9,2.34,284.0,1.54,23.90,1,q1_q17_dr25_tce,4898.00,4.518,0.8030,298.594820,41.435940,15.048
4178606,K02728.01,Kepler-1326 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,42.352003900,131.6124600,0.6590,7.77300,512.6,6.30,938.0,182.91,30.50,1,q1_q17_dr25_tce,6864.00,3.783,2.6320,296.222140,39.268959,12.852
11189311,K03220.01,Kepler-1442 b,CONFIRMED,CANDIDATE,0.8990,0,0,0,0,81.416013800,160.8638700,0.9110,14.17500,762.3,4.63,522.0,17.53,54.30,1,q1_q17_dr25_tce,6352.00,4.267,1.4010,291.255620,48.846924,12.146
