title,source,exoplanets_analyzed
An exomoon survey of 70 cool giant exoplanets and the new candidate Kepler-1708 b-i,"<a refstr=""Kipping et al., 2022 "" href=https://www.nature.com/articles/s41550-021-01539-1> </a>",70
The Hunt for Exomoons with Kepler (HEK): V THE HUNT FOR EXOMOONS WITH KEPLER (HEK). V. A SURVEY OF 41 PLANETARY CANDIDATES FOR EXOMOONS*,"<a refstr=""Kipping et al. 2015 "" href=https://iopscience.iop.org/article/10.1088/0004-637X/813/1/14> </a>""",41
The Hunt for Exomoons with Kepler (HEK). II. Analysis of Seven Viable Sattellite-Hosting Planet Candidates,"<a refstr=""Kipping et al. 2013 a"" href=https://iopscience.iop.org/article/10.1088/0004-637X/770/2/101> </a>""",35
"Exomoon Candidates from Transit Timing Variations Eight Kepler systems with TTVs explainable by photometrically unseen exomoons","<a refstr=""Fox & Wiegert 2021 "" href=https://academic.oup.com/mnras/article/501/2/2378/6019892> </a>""",13
A search for transit timing variations within the exomoon corridor using Kepler data.,"<a refstr=""Kipping & Yahalomi 2022 "" href=https://arxiv.org/abs/2211.06210> </a>""",10
The Hunt for Exomoons with Kepler (HEK): IV. A Search for Moons around Eight M-Dwarfs.,"<a refstr=""Kipping et al. 2014 "" href=https://iopscience.iop.org/article/10.1088/0004-637X/784/1/28> </a>""",8
On the detection of Exomoons: A search in Kepler data for the orbital sampling effect and the scatter peak.,"<a refstr=""Hippke 2015 "" href=https://iopscience.iop.org/article/10.1088/0004-637X/806/1/51></a>""",6
Sodium and Potassium Signatures of Volcanic Satellites Orbiting Close-in Gas Giant Exoplanets.,"<a refstr=""Oza et al., 2019"" href=https://iopscience.iop.org/article/10.3847/1538-4357/ab40cc>  </a>",5
A full transit of v2 Lupi d and the search for an exomoon in its Hill sphere with CHEOPS,"<a refstr="" Ehrenreich et al. 2023 "" href=https://www.aanda.org/articles/aa/full_html/2023/03/aa44790-22/aa44790-22.html></a>",3
Radio-Loud Exoplanet-Exomoon Survey II (RLEES II),"<a refstr=""Narang et al., 2023 "" href=https://academic.oup.com/mnras/article/522/2/1662/7110432> </a>",3
Radio-loud Exoplanet-exomoon Survey: GMRT Search for Electron Cyclotron Maser Emission,"<a refstr=""Narang et al., 2022"" href=https://iopscience.iop.org/article/10.3847/1538-3881/ac9eb8>  </a>",3
Transit of Exomoon Plasma Tori: New Diagnosis,"<a refstr="" Ben-Jaffel & Ballester, 2014 "" href=https://arxiv.org/abs/1404.1084></a>",2
The Hunt for Exomoons with Kepler (HEK): III. The First Search for an Exomoon around a Habitable-Zone Planet,"<a refstr=""Kipping et al. 2013 b"" href=https://iopscience.iop.org/article/10.1088/0004-637X/777/2/134> </a>""",1
"HEK. VI. On the Dearth of Galilean Analogs in Kepler, and the Exomoon Candidate Kepler-1625b I.","<a refstr=""Teachey et al. 2017 "" href=https://iopscience.iop.org/article/10.3847/1538-3881/aa93f2> </a>""",1
A potential exomoon from the predicted planet obliquity,"<a refstr="" Poon et. al., 2024"" href=https://arxiv.org/abs/2412.05988> </a>",1
The Detection and Characterization of a Nontransiting Planet by Transit Timing Variations,"<a refstr=""Nesvorný et al. 2012 "" href=https://arxiv.org/abs/1208.0942> </a>",1
THE PLANETARY SYSTEM TO KIC 11442793: A COMPACT ANALOGUE TO THE SOLAR SYSTEM,"<a refstr=""Cabrera et al. 2014 "" href=https://iopscience.iop.org/article/10.1088/0004-637X/781/1/18> </a>",1
A Sub-Earth-Mass Moon Orbiting a Gas Giant Primary or a High Velocity Planetary System in the Galactic Bulge.,"<a refstr="" Bennett et al., 2013 "" href=https://arxiv.org/abs/1404.1084></a>",1
